Please specify your gender as accurately as possible.,Please specify your sexuality as accurately as possible.,"Do you identify as queer, genderqueer, genderfuck, trans?",Do you currently work in any of the computing fields?,Do you have (or are working on) a degree in a computing field?
,,,,
female,heterosexual,No,Yes,Yes
Female,"straight, not opposed to the idea of being interested in other females",No,No,No
"Male (biologically, and gender-identitywise)",Hetersexual,No,Yes,No
Male,Gay,No,No,No
Male,Heterosexual,No,No,Yes
Male,Autosexual,No,Yes,Yes
Male,Basic Hetero,No,Yes,No
Woman,Heterosexual,No,Yes,No
female,pansexual,No,No,No
male,heterosexual,No,Yes,No
male,yes please,Yes,No,No
male,heterosexual,No,Yes,Yes
male,heterosexual,No,Yes,No
"Geek (genderqueer, female-bodied, practical femme presentation)",sapiosexual,Yes,Yes,No
female,bi,Yes,Yes,Yes
female,heterosexual,No,Yes,Yes
male,straight,No,Yes,Yes
Kilt-wearing dude,"I round up (or down, if you prefer) to hetero, but occasionally appreciate a good-looking dude.",No,Yes,Yes
CIS-Male,Hetero,No,Yes,No
male,straight,No,No,No
Male,Happy,No,Yes,No
Male,Hetero,No,Yes,No
m,straight,No,Yes,Yes
Male,Heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,No
i'm a dude,my love is for the ladies only,No,Yes,Yes
Male,Hetero,No,Yes,Yes
Male,Straight,No,Yes,No
Male,Somewhere between 0 and 1 on the Kinsey Scale,No,Yes,No
Masculine feminist,"Pro, active, monogamous",No,Yes,No
Male,Hetrosexual,No,Yes,No
Male,Hetero,No,Yes,Yes
male,heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,hetero,No,Yes,Yes
Male,Still turn girls on,No,Yes,Yes
male,latent bisexual,No,Yes,Yes
male,hetero,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Female,Heterosexual,No,Yes,Yes
Male,Hetero,No,No,No
Male,Straight,No,Yes,Yes
Male,Hetero,No,Yes,No
Male,Heterosexual monogamy,No,Yes,No
male,hetrosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
female,heterosexual,No,Yes,Yes
Female,Practicing Straight / Married to a Man,No,Yes,Yes
male,heterosexual,No,Yes,Yes
human,lots,No,Yes,Yes
Male,Straight,No,No,Yes
Female,Straight,No,No,No
trans woman,polysexual,Yes,No,Yes
queer,queer,Yes,No,No
Male,99% Straight,No,Yes,Yes
male,heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,straight,No,Yes,Yes
Male,Heterosexual,No,Yes,No
MALE,STRAIGHT,No,No,No
male,hetero,No,Yes,Yes
"Male, although I don't particularly identify with it or the associated gender roles.","Asexual - I find that people whom I guess to be women can be attractive, while people whom I guess to be men cannot, but I have little to no interest in sex proper.",No,Yes,Yes
genderqueer,pansexual,Yes,No,No
butch woman,pansexual mostly attracted to women,Yes,Yes,Yes
Mostly male-normative.,"Mostly hetro, with the ocassional drift into other categories.",Yes,Yes,Yes
Male,Straight,No,Yes,Yes
I'm a trans woman.,"I'm attracted to women 70% of the time and to men 30% of the time; I'm somewhere between ""lesbian"" and ""pansexual"", but I lean more toward identifying as a lesbian.",Yes,Yes,Yes
Male,Heterosexual,No,Yes,No
Queer,Queer,Yes,Yes,No
Male,Pansexual,No,Yes,Yes
Female,Heterosexual,No,Yes,No
male,heterosexual,No,Yes,No
Male,Straight/pan,No,Yes,Yes
male,heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
man,Queer,Yes,No,No
male,heterosexual,No,Yes,Yes
male,bisexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Straight,No,Yes,Yes
masculine,straight,No,Yes,No
male,primarily homosexual,Yes,Yes,No
Male,Heterosexual,No,Yes,Yes
male,straight,No,Yes,Yes
Male,Straight,No,Yes,Yes
genderqueer/butch woman,bi in a relationship with a man,Yes,Yes,No
male,hetero,No,Yes,No
male,straight,No,Yes,No
male,hetrosexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Female,Straight,No,Yes,No
Male,Straight,No,Yes,Yes
male,male,No,Yes,Yes
Male,Straight,No,Yes,No
male,pansexual,Yes,Yes,Yes
"cis-female, mostly femme presentation",queer (I don't care what gender or sex my partner is),Yes,Yes,Yes
Male,Hetero,No,Yes,Yes
female,queer,Yes,Yes,Yes
Female,Queer,Yes,No,No
genderqueer femme dyke,female-bodied andromimetophile,Yes,No,No
Male,Hetero,No,Yes,No
male,straight,No,No,No
Male,Gay,Yes,Yes,Yes
Female,Sexual preference 95% heterosexual; may fluctuate.  Sexual history 100% heterosexual.,No,Yes,Yes
female,queer,Yes,No,No
Male,Cis,No,Yes,Yes
Male,heterosexual,No,Yes,No
female,bisexual,No,Yes,No
Male,Straight,No,Yes,No
male,heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,"hetro, poly",No,Yes,Yes
male,hetero,No,No,No
Male,Likes women,No,Yes,No
male,heterosexual,No,Yes,No
Male,Straight,No,Yes,Yes
male,heterosexual,No,Yes,Yes
male,monogamous heterosexual,No,Yes,Yes
male,straight,No,Yes,Yes
Female,queer,Yes,No,No
male,heterosexual,No,Yes,Yes
Female,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,No
mayl,hetero,No,Yes,No
Female,Female,No,Yes,No
male,predominantly straight,No,Yes,No
Female,Straight,No,Yes,Yes
Male,Straight,No,Yes,Yes
"Who the hell knows? I ""pretend"" to be female on the internet.",bisexual,Yes,Yes,Yes
Male,Hetero (polyamorous),No,Yes,Yes
Male.,Mostly straight.,No,Yes,Yes
Cis female,Mostly straight,No,Yes,No
male,"A high 1 on the Kinsey scale, with current technology",No,Yes,Yes
I identify as a woman.,Hetero-awesome,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,bi,Yes,Yes,Yes
agender,pansexual,Yes,Yes,Yes
male,female,No,Yes,Yes
"cis male, although less agressive than typically assumed",heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
women,hetereo,No,Yes,No
Male,Straight,No,Yes,No
Male,"Hetero, monogamous",No,Yes,Yes
Male,Cis,No,Yes,Yes
Male,Hetrosexual,No,Yes,Yes
Female,Hetersexual,No,Yes,Yes
male,bisexual,No,Yes,Yes
Male,Straight,No,Yes,No
Male,Heterosexual,No,Yes,No
male,heterosexual,No,Yes,No
Male,Hetro,No,Yes,No
Male,Hetero - pro LGBT,No,Yes,Yes
Cis male,Hetrosexual,No,Yes,Yes
Male,Gay,No,Yes,Yes
Male,Straight,No,Yes,Yes
female,bi,Yes,Yes,No
Male,Heterosexual,No,Yes,No
male,straight,No,Yes,Yes
Male,"Straight, married, father of 3, regular sexuality (not enough but... if it's the question)",No,Yes,Yes
Male,Straight,No,Yes,No
Female,Straight,No,Yes,No
male,straigth,No,Yes,No
Male,mostly Straight,No,Yes,No
Male,Straight,No,Yes,Yes
Female,Heterosexual,No,No,Yes
Male,Straight,No,Yes,Yes
Male,Heterosexual - manogamous,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Female,Heterosexual,No,Yes,Yes
female,heterosexual,No,Yes,No
Male,It's complicated,Yes,Yes,Yes
male,bisexual,No,Yes,No
Male,Straight,No,Yes,Yes
Male,Heterossexual,No,Yes,Yes
female,bisexual,Yes,Yes,Yes
Male,Heterosexual,No,Yes,No
Female,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
Trans,complicated?,Yes,No,Yes
Female,Heterosexual,No,No,No
Female (sex & gender),Heterosexual,No,No,No
male,hetro,No,Yes,No
Male,Straight,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Straight,No,Yes,Yes
male,heterosexual,No,Yes,Yes
male,straight,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Hetrosexual,No,Yes,Yes
"anatomically male, identify as & present as male",hetero,No,Yes,Yes
male,bisexual,No,No,Yes
Negro Male,Pimp,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Gay,No,No,No
male,straight,No,Yes,No
male,straight (kinsey 1),No,Yes,Yes
Female,Aromantic Asexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,straight,No,Yes,Yes
Male,Pansexual,Yes,Yes,No
male,male,No,Yes,Yes
male,pansexual,Yes,Yes,Yes
Male,Hetero,No,Yes,Yes
Male,I like girls,No,Yes,Yes
Male,Bisexual Curious,No,Yes,Yes
Male,Hetero Male,No,Yes,Yes
male,"bisexual, tending straight",No,No,No
male,Kinsey scale 1,No,Yes,Yes
Male,Bisexual,No,Yes,No
Male,Bisexual,Yes,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Heterosexual,No,Yes,No
male,heterosexual,No,Yes,No
men,women,No,Yes,No
male,straight cis guy,No,Yes,Yes
Female,Queer,Yes,Yes,Yes
male,straight,No,Yes,Yes
Male,Male,No,Yes,No
Genderqueer,Queer,Yes,Yes,Yes
male,attracted to women,No,Yes,Yes
female,bisexual,Yes,No,Yes
Male,Pansexual,Yes,No,No
cis female,heterosexual monogamous,No,Yes,Yes
Female,I like guys...,No,No,No
"Cis male, chromosomally XY (I'm guessing you meant 'precisely' rather than 'accurately'.)",Queer,Yes,Yes,Yes
Female,Pansexual,No,Yes,Yes
female,female,No,No,No
Male,Straight,No,Yes,No
Male,Heterosexual,No,Yes,No
Male,Straight,No,Yes,Yes
Female,Lesbian,Yes,Yes,Yes
Male,Gay,Yes,Yes,Yes
male,heterosexual,No,Yes,Yes
Male,Hetro,No,Yes,No
Female,Mostly Straight,Yes,Yes,Yes
Male,"Single, straight, though not especially interested in sexual relationships",No,Yes,Yes
Female,Lesbian,Yes,No,Yes
Female (cis),pan/omni,Yes,No,No
Female,unknown,No,Yes,Yes
Male,Heterosexual,No,No,No
Male,Heterosexual,No,No,Yes
Female,pansexual,Yes,Yes,Yes
Female,Gay,No,Yes,Yes
male,straight,No,Yes,Yes
Female,Bisexual,Yes,Yes,Yes
male,hetero,No,Yes,No
Male,Bisexual,Yes,Yes,No
Male,Heterosexual,No,Yes,Yes
Female,Bisexual,No,No,No
genderqueer,female attracted,Yes,No,No
Female,Bisexual,Yes,Yes,Yes
female,bisexual,Yes,No,Yes
Male,Homosexual,Yes,Yes,Yes
Female,"Bisexual, let's say Kinsey 2.5",Yes,No,No
Female,Bisexual,No,Yes,No
"Outwardly male out of convenience, inwardly mostly ungendered","Primarily gynesexual, somewhat fluid/pansexual",No,Yes,Yes
male,"bisexual, significantly skewed towards women",Yes,Yes,No
Female lady-type,Hetero,No,Yes,Yes
female,bisexual,Yes,Yes,Yes
male,male,No,Yes,Yes
Female,Straight,No,Yes,Yes
Male,Hetero,No,Yes,Yes
F,Bi,No,No,No
Male,"Straight (Kinsey 0 sober, 1 drunk, always attracted to Robert Downey Jr. and Gerard Butler, so I guess that kinda makes me a 1 when sober for certain cases. Sexuality is complex.)",No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
female,lesbian/queer lady,Yes,Yes,No
Male,Straight,No,Yes,Yes
trans woman,lesbian,Yes,Yes,Yes
female,mostly heterosexual,No,Yes,Yes
female,2-ish on the Kinsey Scale,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Hetero,No,Yes,Yes
male,heterosexual,No,Yes,Yes
